Date,Equal_Weighted_Value,Custom_Weighted_Value
2018-01-03,30215.40649966684,30141.638140497587
2018-01-04,30389.956037148564,30314.640509521894
2018-01-05,30765.20578031164,30680.358172835175
2018-01-08,30773.793715912256,30654.4455235002
2018-01-09,30752.56804925427,30638.61934866797
2018-01-10,30679.326175355796,30578.834791588404
2018-01-11,30785.281429248098,30703.357397431173
2018-01-12,31239.97473049217,31123.549858048355
2018-01-16,31042.24159570973,30914.483605240806
2018-01-17,31499.65785710783,31403.616608915134
2018-01-18,31475.524166133415,31396.201026547893
2018-01-19,31486.601654160302,31357.31102609794
2018-01-22,31778.117449847145,31510.635613628776
2018-01-23,31923.32094490053,31609.135372073546
2018-01-24,31700.4076228819,31322.903446240867
2018-01-25,31668.359392334296,31153.56107999357
2018-01-26,31939.22526283428,31393.65840131829
2018-01-29,31693.33248122791,31049.0311075867
2018-01-30,31417.212918378373,30792.811378595405
2018-01-31,31745.540395807857,31086.71643769459
2018-02-01,31678.488341298922,31042.274560596823
2018-02-02,30384.926923564493,29795.972869696092
2018-02-05,29200.631067337697,28753.123025497964
2018-02-06,30177.671697068366,29799.662876250644
2018-02-07,29503.69499663015,29152.84221112859
2018-02-08,28283.759126388897,28039.276548436086
2018-02-09,29111.399017568066,28739.012519211505
2018-02-12,29683.689606878896,29456.230548105785
2018-02-13,29856.579107058235,29670.82913968545
2018-02-14,30371.127998804503,30188.211612678126
2018-02-15,31093.415158504566,30984.57688658269
2018-02-16,31025.357833022186,30891.72491798652
2018-02-20,31147.876279889217,30957.921256086644
2018-02-21,31058.604851062653,30821.463717767
2018-02-22,31136.51755239738,30953.23333844995
2018-02-23,31750.746214451516,31559.719393643056
2018-02-26,32259.479360004996,32095.953399634887
2018-02-27,31840.90513359737,31773.84027166408
2018-02-28,31647.323190177398,31629.006713812792
2018-03-01,31048.37759008766,31072.6085559929
2018-03-02,31265.1956916236,31273.94746378163
2018-03-05,31469.44204884768,31448.836953861948
2018-03-06,31483.527090412066,31438.53143529748
2018-03-07,31581.628894695466,31427.950346947968
2018-03-08,31895.81919902456,31737.517029126248
2018-03-09,32612.216110240428,32399.72289969568
2018-03-12,32790.872881768395,32607.905109287996
2018-03-13,32175.12351337376,32066.793288954217
2018-03-14,32104.81348973794,31923.94004866751
2018-03-15,32171.05854104777,31985.95784067947
2018-03-16,32030.17871502396,31882.345672268555
2018-03-19,31350.763759155925,31272.80708512696
2018-03-20,31333.620860502164,31267.413647754438
2018-03-21,31006.94979186991,30837.49707343712
2018-03-22,30174.338621150022,30120.24317520809
2018-03-23,29395.016495408738,29356.6904922977
2018-03-26,30864.81252477006,30877.74767242357
2018-03-27,29667.980683149108,29779.918712418345
2018-03-28,29532.582594596734,29596.997216819203
2018-03-29,30129.489406420827,30087.504355366054
2018-04-02,29523.69707529193,29574.700953635187
2018-04-03,29815.75649022435,29881.023873701404
2018-04-04,30403.676388315973,30493.23320406772
2018-04-05,30508.277097465143,30621.26418883869
2018-04-06,29788.03138304559,29881.277409666724
2018-04-09,30045.623071634276,30143.104905061016
2018-04-10,30628.013760129772,30733.91397073036
2018-04-11,30355.483415484323,30492.97300850428
2018-04-12,30765.415000745972,30887.32255137246
2018-04-13,30733.00852195572,30882.69269580951
2018-04-16,31016.356035473033,31147.491303151102
2018-04-17,31695.972669262468,31748.44418440262
